Kuupäev,Fond.PIK,Lühinimi,ISIN,Invest..arv,Muutus..
02.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,772,0
03.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,772,0
04.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,776,0.52
05.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,777,0.65
06.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,777,0.65
07.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,777,0.65
08.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,781,1.17
09.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,783,1.42
10.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,785,1.68
11.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,790,2.33
12.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,791,2.46
13.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,791,2.46
14.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,791,2.46
15.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,792,2.59
16.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,794,2.85
17.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,796,3.11
18.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,796,3.11
19.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,796,3.11
20.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,796,3.11
21.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,796,3.11
22.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,796,3.11
23.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,798,3.37
24.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,799,3.5
25.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,799,3.5
26.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,800,3.63
27.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,800,3.63
28.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,800,3.63
29.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,803,4.02
30.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,804,4.15
31.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,807,4.53
01.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,806,4.4
02.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,807,4.53
03.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,807,4.53
04.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,807,4.53
05.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,811,5.05
06.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,813,5.31
07.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,814,5.44
08.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,815,5.57
09.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,815,5.57
10.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,815,5.57
11.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,815,5.57
12.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,815,5.57
