Kuupäev,Fond,Lühinimi,ISIN,Maht,Muutus..
02.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5255219,0
03.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5238961,-0.31
04.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5222739,-0.62
05.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5235645,-0.37
06.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5235645,-0.37
07.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5235645,-0.37
08.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5248669,-0.12
09.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5280733,0.49
10.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5299905,0.85
11.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5309521,1.03
12.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5295735,0.77
13.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5295735,0.77
14.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5295735,0.77
15.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5307740,1
16.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5287042,0.61
17.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5224498,-0.58
18.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5212735,-0.81
19.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5242155,-0.25
20.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5242155,-0.25
21.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5242155,-0.25
22.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5245416,-0.19
23.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5271549,0.31
24.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5305791,0.96
25.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5326317,1.35
26.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5342340,1.66
27.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5342340,1.66
28.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5342340,1.66
29.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5342885,1.67
30.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5338920,1.59
31.05.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5307129,0.99
01.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5347101,1.75
02.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5371710,2.22
03.06.2017,LHV Pensionifond Indeks,LIK75,EE3600109401,5371710,2.22
